Array Length,InsertionSort,QuickSort,MergeSort,HeapSort
100,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
1100,1.0,2.0,0.0,2.6666666666666665
2100,13.333333333333334,1.3333333333333333,0.6666666666666666,1.3333333333333333
3100,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333
4100,1.0,1.3333333333333333,1.0,1.6666666666666667
5100,1.0,2.0,0.6666666666666666,1.3333333333333333
6100,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667
7100,2.6666666666666665,3.0,1.0,1.6666666666666667
8100,3.3333333333333335,3.0,1.0,2.0
9100,4.333333333333333,3.3333333333333335,1.0,1.6666666666666667
10100,5.0,3.6666666666666665,1.0,2.0
11100,6.333333333333333,4.0,0.0,2.0
12100,7.0,4.666666666666667,0.6666666666666666,1.3333333333333333
13100,8.333333333333334,5.0,0.3333333333333333,1.6666666666666667
14100,10.0,5.333333333333333,0.3333333333333333,2.3333333333333335
15100,11.333333333333334,5.0,1.0,2.0
16100,12.666666666666666,6.0,0.6666666666666666,2.0
17100,14.666666666666666,6.333333333333333,0.3333333333333333,2.3333333333333335
18100,16.0,6.333333333333333,1.0,2.3333333333333335
19100,18.333333333333332,6.333333333333333,1.0,2.6666666666666665
20100,19.333333333333332,7.333333333333333,1.3333333333333333,2.6666666666666665
21100,21.666666666666668,8.333333333333334,1.0,2.0
22100,25.333333333333332,8.666666666666666,1.3333333333333333,2.3333333333333335
23100,27.333333333333332,8.0,1.6666666666666667,3.0
24100,28.333333333333332,9.0,1.0,3.0
25100,31.0,9.0,1.6666666666666667,3.3333333333333335
26100,33.0,9.0,1.6666666666666667,3.0
27100,35.666666666666664,11.0,1.0,3.6666666666666665
28100,38.333333333333336,10.333333333333334,1.3333333333333333,3.6666666666666665
29100,41.0,11.0,1.6666666666666667,3.6666666666666665
30100,44.0,11.0,1.6666666666666667,3.6666666666666665
31100,47.666666666666664,11.666666666666666,2.0,3.6666666666666665
32100,49.666666666666664,11.666666666666666,2.0,4.0
33100,53.333333333333336,12.0,2.3333333333333335,3.6666666666666665
34100,60.666666666666664,13.0,1.3333333333333333,3.6666666666666665
35100,60.0,13.0,2.3333333333333335,4.0
36100,63.0,13.0,2.0,4.666666666666667
37100,67.66666666666667,13.333333333333334,2.0,5.0
38100,74.33333333333333,14.0,2.3333333333333335,4.333333333333333
39100,74.0,14.0,2.6666666666666665,4.666666666666667
40100,78.0,15.0,2.6666666666666665,5.0
41100,81.66666666666667,15.333333333333334,2.3333333333333335,4.333333333333333
42100,85.66666666666667,15.666666666666666,2.3333333333333335,5.0
43100,89.33333333333333,16.333333333333332,3.0,5.0
44100,94.66666666666667,16.666666666666668,2.0,6.0
45100,99.66666666666667,17.333333333333332,2.6666666666666665,5.333333333333333
46100,103.66666666666667,17.0,2.3333333333333335,6.0
47100,107.33333333333333,17.666666666666668,3.3333333333333335,5.333333333333333
48100,123.66666666666667,18.0,3.3333333333333335,5.0
49100,117.66666666666667,18.0,3.0,6.0
50100,122.0,18.666666666666668,3.3333333333333335,5.666666666666667
51100,127.66666666666667,18.666666666666668,3.3333333333333335,6.666666666666667
52100,132.0,20.0,3.3333333333333335,6.333333333333333
53100,136.66666666666666,19.666666666666668,3.6666666666666665,7.0
54100,143.33333333333334,20.333333333333332,3.0,6.333333333333333
55100,147.0,20.666666666666668,3.3333333333333335,6.666666666666667
56100,153.0,21.333333333333332,3.3333333333333335,7.0
57100,157.33333333333334,22.0,3.3333333333333335,6.333333333333333
58100,163.33333333333334,22.0,3.6666666666666665,6.666666666666667
59100,169.0,22.0,3.3333333333333335,7.0
60100,176.66666666666666,22.666666666666668,4.0,6.666666666666667
61100,180.0,23.333333333333332,3.6666666666666665,8.0
62100,187.0,23.0,3.6666666666666665,8.333333333333334
63100,219.0,34.666666666666664,4.666666666666667,9.666666666666666
64100,251.33333333333334,25.666666666666668,4.333333333333333,7.333333333333333
65100,208.66666666666666,24.666666666666668,3.6666666666666665,8.0
66100,210.66666666666666,25.0,3.6666666666666665,8.333333333333334
67100,217.0,25.333333333333332,4.0,8.0
68100,222.66666666666666,25.0,4.0,8.0
69100,230.0,26.0,3.6666666666666665,8.666666666666666
70100,238.33333333333334,26.333333333333332,4.333333333333333,8.0
71100,242.0,26.333333333333332,4.0,8.666666666666666
72100,248.66666666666666,27.333333333333332,4.333333333333333,9.333333333333334
73100,258.0,27.666666666666668,4.666666666666667,8.666666666666666
74100,264.6666666666667,28.0,5.0,8.333333333333334
75100,278.6666666666667,29.333333333333332,4.666666666666667,9.333333333333334
76100,283.6666666666667,29.0,4.333333333333333,9.666666666666666
77100,294.3333333333333,29.333333333333332,4.333333333333333,11.666666666666666
78100,298.3333333333333,30.0,5.0,9.333333333333334
79100,303.6666666666667,29.666666666666668,5.666666666666667,9.333333333333334
80100,312.3333333333333,31.0,4.333333333333333,10.666666666666666
81100,319.3333333333333,31.666666666666668,4.666666666666667,10.333333333333334
82100,322.3333333333333,30.666666666666668,5.0,9.333333333333334
83100,332.6666666666667,35.666666666666664,6.333333333333333,11.333333333333334
84100,373.0,31.666666666666668,5.0,10.0
85100,359.6666666666667,32.666666666666664,5.333333333333333,10.0
86100,356.0,32.333333333333336,5.333333333333333,9.333333333333334
87100,363.3333333333333,33.0,4.666666666666667,11.333333333333334
88100,374.0,33.666666666666664,5.0,10.333333333333334
89100,382.0,34.0,5.666666666666667,10.666666666666666
90100,388.0,33.666666666666664,5.333333333333333,10.333333333333334
91100,396.3333333333333,35.0,6.0,10.333333333333334
92100,451.6666666666667,36.333333333333336,5.0,12.0
93100,536.6666666666666,38.333333333333336,6.333333333333333,12.0
94100,441.0,38.0,5.666666666666667,12.666666666666666
95100,463.3333333333333,39.0,5.666666666666667,13.666666666666666
96100,462.0,41.0,6.0,14.666666666666666
97100,476.0,38.0,6.0,13.666666666666666
98100,477.6666666666667,40.0,6.0,14.333333333333334
99100,484.6666666666667,39.0,6.0,12.666666666666666
